"BrainKey","lsmpath","imagestems","Side","UniqueID","CloneNo","Genotype","Sex","CloneName"
"SAKQ21","SAKQ21-1.lsm","SAKQ21-1","L",3183,1,"fru Syt MARCM","M","pIP-c"
"SAKQ21","SAKQ21-1.lsm","SAKQ21-1","R",3184,2,"fru Syt MARCM","M","pIP-c"
"SAKQ21","SAKQ21-1.lsm","SAKQ21-1","R",3392,4,"fru Syt MARCM","M","dPr-b"
"SAKQ24","SAKQ24-1.lsm","SAKQ24-1","R",3388,5,"fru Syt MARCM","M",NA
"SAKQ24","SAKQ24-1.lsm","SAKQ24-1","L",3187,2,"fru Syt MARCM","M","MB"
"SAKQ24","SAKQ24-1.lsm","SAKQ24-1","L",3389,6,"fru Syt MARCM","M","vPr-c"
"SAKQ24","SAKQ24-1.lsm","SAKQ24-1","L",3391,7,"fru Syt MARCM","M","vMs-o"
"SAKQ24","SAKQ24-1.lsm","SAKQ24-1","R",3387,4,"fru Syt MARCM","M",NA
"SAKQ24","SAKQ24-1.lsm","SAKQ24-1","L",4184,8,"fru Syt MARCM","M","SN-e"
"SAKQ24","SAKQ24-1.lsm","SAKQ24-1","R",3188,3,"fru Syt MARCM","M","aDT-e"
"SAKQ24","SAKQ24-1.lsm","SAKQ24-1","L",3186,1,"fru Syt MARCM","M",NA
"SAKQ25","SAKQ25-1.lsm","SAKQ25-1","R",3194,2,"fru Syt MARCM","M",NA
"SAKQ25","SAKQ25-1.lsm","SAKQ25-1","R",3193,1,"fru Syt MARCM","M","pMP-f"
"SAKQ3","SAKQ3-1.lsm","SAKQ3-1","R",3140,2,"fru Syt MARCM","M","pSP-a"
"SAKQ3","SAKQ3-1.lsm","SAKQ3-1","L",3138,1,"fru Syt MARCM","M","pIP-h"
"SAKQ4","SAKQ4-1.lsm","SAKQ4-1","L",3145,2,"fru Syt MARCM","M","pIP-e"
"SAKQ4","SAKQ4-1.lsm","SAKQ4-1","L",3386,4,"fru Syt MARCM","M","vMs-o"
"SAKQ4","SAKQ4-1.lsm","SAKQ4-1","L",3385,3,"fru Syt MARCM","M",NA
"SAKQ4","SAKQ4-1.lsm","SAKQ4-1","R",3144,1,"fru Syt MARCM","M","MB"
"SAKQ6","SAKQ6-1.lsm","SAKQ6-1","L",3384,2,"fru Syt MARCM","M","dPr-b"
"SAKQ6","SAKQ6-1.lsm","SAKQ6-1","L",3146,1,"fru Syt MARCM","M","pIP-i"
