"BrainKey","lsmpath","imagestems","Side","UniqueID","CloneNo","Genotype","Sex","CloneName"
"SAKW15","SAKW15-1.lsm","SAKW15-1","R",3302,6,"fru Syt MARCM","M",NA
"SAKW15","SAKW15-1.lsm","SAKW15-1","L",3301,5,"fru Syt MARCM","M","vMs-n"
"SAKW17","SAKW17-1.lsm","SAKW17-1","L",3298,3,"fru Syt MARCM","M",NA
"SAKW17","SAKW17-1.lsm","SAKW17-1","L",3167,1,"fru Syt MARCM","M","pIP-"
"SAKW17","SAKW17-1.lsm","SAKW17-1","R",3168,2,"fru Syt MARCM","M","MB"
"SAKW18","SAKW18-1.lsm","SAKW18-1","R",3296,1,"fru Syt MARCM","M","dPr-b"
"SAKW18","SAKW18-1.lsm","SAKW18-1","R",3297,2,"fru Syt MARCM","M",NA
"SAKW2","SAKW2-1.lsm","SAKW2-1","R",3294,4,"fru Syt MARCM","M","dMs-b"
"SAKW2","SAKW2-1.lsm","SAKW2-1","R",3165,1,"fru Syt MARCM","M","pMP-c"
"SAKW2","SAKW2-1.lsm","SAKW2-1","L",3166,2,"fru Syt MARCM","M","MB"
"SAKW2","SAKW2-1.lsm","SAKW2-1","R",3293,3,"fru Syt MARCM","M",NA
