Filename,Genotype,Sex,RegistrationFile,FullRegistrationPath,Quality,Sections,PixelSize,Step,Lens
"SAKA3-2","fru Syt MARCM","M","SAKA3-2","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKA3-2_01_warp_m0g80c8e1e-1x26r4.list","3","159",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAKA14-1","fru Syt MARCM","M","SAKA14-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKA14-1_01_warp_m0g80c8e1e-1x26r4.list","3","149",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAKA13-1","fru Syt MARCM","M","SAKA13-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAKA13-1_01_warp_m0g80c8e1e-1x26r4.list","2","159",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAJW25-2","fru Syt MARCM","F","SAJW25-2","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAJW25-2_01_warp_m0g80c8e1e-1x26r4.list","3","147",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGC1-1","fru MARCM","M","SAGC1-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGC1-1_01_warp_m0g80c8e1e-1x26r4.list","2","163",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGC2-1","fru MARCM","M","SAGC2-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGC2-1_01_warp_m0g80c8e1e-1x26r4.list","2","139",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGC3-1","fru MARCM","M","SAGC3-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGC3-1_01_warp_m0g80c8e1e-1x26r4.list","4","157",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGD1-1","fru MARCM","F","SAGD1-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGD1-1_01_warp_m0g80c8e1e-1x26r4.list","2","157",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGD2-1","fru MARCM","F","SAGD2-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGD2-1_01_warp_m0g80c8e1e-1x26r4.list","4","147",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
"SAGD3-1","fru MARCM","F","SAGD3-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/ClusterRegsVNCs/Registration/warp/VNCIS1_SAGD3-1_01_warp_m0g80c8e1e-1x26r4.list","2","169",".415132910481919","1","LD LCI Plan-Apochromat 25x/0.8 Imm Korr DIC M27"
