Filename,Genotype,Sex,RegistrationFile,FullRegistrationPath,Quality,Sections,PixelSize,Step,Lens
"SAGN2-1","fru MARCM","F","SAGN2-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGN2-1_01_warp_m0g80c8e1e-1x26r4.list","5","154",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGN21-1","fru MARCM","F","SAGN21-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGN21-1_01_warp_m0g80c8e1e-1x26r4.list","4","156",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGN22-1","fru MARCM","F","SAGN22-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGN22-1_01_warp_m0g80c8e1e-1x26r4.list","5","154",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGN4-1","fru MARCM","F","SAGN4-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGN4-1_01_warp_m0g80c8e1e-1x26r4.list","5","155",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGN6-1","fru MARCM","F","SAGN6-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGN6-1_01_warp_m0g80c8e1e-1x26r4.list","5","155",".447620653079743","1","LCI Plan-Neofluar 25x/0.8 Imm Korr DIC"
"SAGO11-1","fru MARCM","M","SAGO11-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGO11-1_01_warp_m0g80c8e1e-1x26r4.list","3","145",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGO12-1","fru MARCM","M","SAGO12-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGO12-1_01_warp_m0g80c8e1e-1x26r4.list","4","144",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGO13-1","fru MARCM","M","SAGO13-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGO13-1_01_warp_m0g80c8e1e-1x26r4.list","4","142",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGO14-1","fru MARCM","M","SAGO14-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGO14-1_01_warp_m0g80c8e1e-1x26r4.list","3","141",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGO16-1","fru MARCM","M","SAGO16-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGO16-1_01_warp_m0g80c8e1e-1x26r4.list","2","139",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGO2-1","fru MARCM","M","SAGO2-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGO2-1_01_warp_m0g80c8e1e-1x26r4.list","3","140",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGO7-1","fru MARCM","M","SAGO7-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGO7-1_01_warp_m0g80c8e1e-1x26r4.list","5","144",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP11-1","fru MARCM","F","SAGP11-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP11-1_01_warp_m0g80c8e1e-1x26r4.list","5","176",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP15-1","fru MARCM","F","SAGP15-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP15-1_01_warp_m0g80c8e1e-1x26r4.list","2","176",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP17-1","fru MARCM","F","SAGP17-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP17-1_01_warp_m0g80c8e1e-1x26r4.list","4","173",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP18-1","fru MARCM","F","SAGP18-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP18-1_01_warp_m0g80c8e1e-1x26r4.list","5","174",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP19-1","fru MARCM","F","SAGP19-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP19-1_01_warp_m0g80c8e1e-1x26r4.list","5","179",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP20-1","fru MARCM","F","SAGP20-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP20-1_01_warp_m0g80c8e1e-1x26r4.list","3","180",".461258789424355","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
"SAGP21-1","fru MARCM","F","SAGP21-1","/Volumes/JData/JPeople/Sebastian/fruitless/Registration/IS2Reg/Registration/warp/IS2_SAGP21-1_01_warp_m0g80c8e1e-1x26r4.list","4","176",".395364676649447","1","EC Plan-Neofluar 40x/1.30 Oil DIC M27"
